DomainLabel	nMuts	nGenes	pfam	Description
RNA_pol_B_RPB2	1	1	cl04593	RNA polymerase beta subunit. RNA polymerases catalyse the DNA dependent polymerization of RNA. Prokaryotes contain a single RNA polymerase compared to three in eukaryotes (not including mitochondrial. and chloroplast polymerases). Each RNA polymerase...
RNaseD_like	1	1	cd06129	DEDDy 3'-5' exonuclease domain of RNase D, WRN, and similar proteins
RNase_A_canonical	1	1	cd06265	Canonical RNase A family includes all vertebrate homologues to the bovine pancreatic ribonuclease A (RNase A) that contain the catalytic site, necessary for RNase activity.  In the human genome 8 RNases , refered to as 'canonical' RNases, have been...
RNase_Ire1	1	1	cd10422	RNase domain (also known as the kinase extension nuclease domain) of Ire1
RNase_RNase-L	1	1	cd10423	RNase domain (also known as the kinase extension nuclease domain) of RNase L
RPE	1	1	cd00429	Ribulose-5-phosphate 3-epimerase (RPE). This enzyme catalyses the interconversion of D-ribulose 5-phosphate (Ru5P) into D-xylulose 5-phosphate, as part of the Calvin cycle (reductive pentose phosphate pathway) in chloroplasts and in the oxidative pentose...
RPL20A	1	1	COG2157	Ribosomal protein L20A (L18A) [Translation, ribosomal structure and biogenesis]
RPN1	1	1	COG5110	26S proteasome regulatory complex component [Posttranslational modification, protein turnover, chaperones]
RPN6	1	1	COG5159	26S proteasome regulatory complex component [Posttranslational modification, protein turnover, chaperones]
RPN7	1	1	pfam10602	26S proteasome subunit RPN7
RRF	1	1	pfam01765	Ribosome recycling factor
RRM_5	1	1	pfam13893	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
RRN3	1	1	pfam05327	RNA polymerase I specific transcription initiation factor RRN3
RTP801_C	1	1	pfam07809	RTP801 C-terminal region
RTTN_N	1	1	NA	NA
Rab33B_Rab33A	1	1	cd04115	Rab GTPase family 33 includes Rab33A and Rab33B
Rab5_related	1	1	regulates early endosome fusion	Rab-related GTPase family includes Rab5 and Rab22
RabGAP-TBC	1	1	cl02495	Rab-GTPase-TBC domain
Rad1	1	1	pfam02144	Repair protein Rad1/Rec1/Rad17
Rad60-SLD_2	1	1	pfam13881	Ubiquitin-2 like Rad60 SUMO-like
Rad9	1	1	pfam04139	Rad9
RagA_like	1	1	cd11384	Rag GTPase, subfamily of Ras-related GTPases, includes Ras-related GTP-binding proteins A and B
RagC_like	1	1	cd11385	Rag GTPase, subfamily of Ras-related GTPases, includes Ras-related GTP-binding proteins C and D
RalGDS_RA	1	1	cd00153	Ubiquitin domain of  RalGDS-like factor (RLF) and related proteins
RanBD	1	1	cd00835	Ran-binding domain
RasGAP	1	1	cl02569	RasGAP: Ras-GTPase Activating Domain.  RasGAP functions as an enhancer of the hydrolysis of GTP that is bound to Ras-GTPases. Proteins having a RasGAP domain include p120GAP, IQGAP, Rab5-activating protein 6, and Neurofibromin.  Although the Rho (Ras...
RasGAP_IQGAP1	1	1	cd05133	IQGAP1 is a homodimeric protein that is widely expressed among vertebrate cell types from early embryogenesis. Mammalian IQGAP1 protein is the best characterized member of the IQGAP family, and contains several protein-interacting domains. Human IQGAP1...
RasGAP_RASA2	1	1	cd05394	RASA2 (or GAP1(m)) is a member of the GAP1 family of Ras GTPase-activating proteins that includes GAP1_IP4BP (or RASA3), CAPRI, and RASAL. In vitro, RASA2 has been shown to bind inositol 1,3,4,5-tetrakisphosphate (IP4), the water soluble inositol head...
RasGAP_RASA3	1	1	cd05134	RASA3 (or GAP1_IP4BP) is a member of the GAP1 family and has been shown to specifically bind 1,3,4,5-tetrakisphosphate (IP4). Thus, RASA3 may function as an IP4 receptor. The members of GAP1 family are characterized by a conserved domain structure...
RasGAP_p120GAP	1	1	cd05391	p120GAP is a negative regulator of Ras that stimulates hydrolysis of bound GTP to GDP. Once the Ras regulator p120GAP, a member of the GAP protein family, is recruited to the membrane, it is transiently immobilized to interact with Ras-GTP. The down...
RecD	1	1	COG0507	ATP-dependent exoDNAse (exonuclease V), alpha subunit - helicase superfamily I member [DNA replication, recombination, and repair]
RecQ	1	1	COG0514	Superfamily II DNA helicase [DNA replication, recombination, and repair]
Recep_L_domain	1	1	pfam01030	Receptor L domain
Reelin_repeat_1_subrepeat_1	1	1	cd10037	N-terminal subrepeat of tandem repeat unit 1 of reelin and related proteins
Reelin_repeat_1_subrepeat_2	1	1	cd10045	C-terminal subrepeat of tandem repeat unit 1 of reelin and related proteins
Reelin_repeat_7_subrepeat_2	1	1	cd10051	C-terminal subrepeat of tandem repeat unit 7 of reelin and related proteins
Reelin_repeat_8_subrepeat_1	1	1	cd10044	N-terminal subrepeat of tandem repeat unit 8 of reelin and related proteins
Rft-1	1	1	pfam04506	Rft protein
RhaT	1	1	COG0697	Permeases of the drug/metabolite transporter (DMT) superfamily [Carbohydrate transport and metabolism / Amino acid transport and metabolism / General function prediction only]
RhoGAP-p50rhoGAP	1	1	p50RhoGAP, also known as RhoGAP-1, contains a C-terminal RhoGAP domain and an N-terminal Sec14 domain which binds phosphatidylinositol...	RhoGAP-p50rhoGAP: RhoGAP (GTPase-activator protein [GAP] for Rho-like small GTPases) domain of p50RhoGAP-like proteins
RhoGAP_ARHGAP18	1	1	cd04391	RhoGAP_ARHGAP18: RhoGAP (GTPase-activator protein [GAP] for Rho-like small GTPases) domain of ArhGAP18-like proteins. The function of ArhGAP18 is unknown. Small GTPases cluster into distinct families, and all act as molecular switches, active in their...
RhoGAP_ARHGAP19	1	1	cd04392	RhoGAP_ARHGAP19: RhoGAP (GTPase-activator protein [GAP] for Rho-like small GTPases) domain of ArhGAP19-like proteins. The function of ArhGAP19 is unknown. Small GTPases cluster into distinct families, and all act as molecular switches, active in their...
RhoGAP_ARHGAP21	1	1	cd04395	RhoGAP_ARHGAP21: RhoGAP (GTPase-activator protein [GAP] for Rho-like small GTPases) domain of ArhGAP21-like proteins. ArhGAP21 is a multi-domain protein, containing RhoGAP, PH and PDZ domains, and is believed to play a role in the organization of the...
RhoGAP_FAM13A1a	1	1	cd04393	RhoGAP_FAM13A1a: RhoGAP (GTPase-activator protein [GAP] for Rho-like small GTPases) domain of FAM13A1, isoform a-like proteins. The function of FAM13A1a is unknown. Small GTPases cluster into distinct families, and all act as molecular switches, active...
RhoGAP_GMIP	1	1	cd04408	RhoGAP_GMIP: RhoGAP (GTPase-activator protein [GAP] for Rho-like small GTPases) domain of GMIP (Gem interacting protein). GMIP plays important roles in neurite growth and axonal guidance, and interacts with Gem, a member of the RGK subfamily of the Ras...
RhoGAP_Graf	1	1	Graf is a multi-domain protein, containing SH3 and PH domains, that binds focal adhesion kinase and influences...	RhoGAP_Graf: GTPase-activator protein (GAP) domain for Rho-like GTPases found in GRAF (GTPase regulator associated with focal adhesion kinase)
RhoGAP_MgcRacGAP	1	1	cd04382	RhoGAP_MgcRacGAP: RhoGAP (GTPase-activator protein [GAP] for Rho-like small GTPases) domain present in MgcRacGAP proteins. MgcRacGAP plays an important dual role in cytokinesis: i) it is part of centralspindlin-complex, together with the mitotic kinesin...
RhoGAP_chimaerin	1	1	cd04372	RhoGAP_chimaerin: RhoGAP (GTPase-activator protein [GAP] for Rho-like small GTPases) domain of chimaerins. Chimaerins are a family of phorbolester- and diacylglycerol-responsive GAPs specific for the Rho-like GTPase Rac. Chimaerins exist in two...
Rib_hydrolase	1	1	cd04759	ADP-ribosyl cyclase, also known as cyclic ADP-ribose hydrolase or CD38
Ribophorin_II	1	1	pfam05817	Oligosaccharyltransferase subunit Ribophorin II
Ribosomal_L1	1	1	cd00403	Ribosomal protein L1.  The L1 protein, located near the E-site of the ribosome, forms part of the L1 stalk along with 23S rRNA.  In bacteria and archaea, L1 functions both as a ribosomal protein that binds rRNA, and as a translation repressor that binds...
Ribosomal_L11	1	1	cd00349	Ribosomal protein L11. Ribosomal protein L11, together with proteins L10 and L7/L12, and 23S rRNA, form the L7/L12 stalk on the surface of the large subunit of the ribosome. The homologous eukaryotic cytoplasmic protein is also called 60S ribosomal...
Ribosomal_L15e	1	1	cl02977	Ribosomal L15
Ribosomal_L16_L10e	1	1	cd01433	Ribosomal_L16_L10e: L16 is an essential protein in the large ribosomal subunit of bacteria, mitochondria, and chloroplasts. Large subunits that lack L16 are defective in peptidyl transferase activity, peptidyl-tRNA hydrolysis activity, association with...
Ribosomal_L17	1	1	pfam01196	Ribosomal protein L17
Ribosomal_L20	1	1	cd07026	Ribosomal protein L20
Ribosomal_L22	1	1	cd00336	Ribosomal protein L22/L17e.  L22 (L17 in eukaryotes) is a core protein of the large ribosomal subunit.  It is the only ribosomal protein that interacts with all six domains of 23S rRNA, and is one of the proteins important for directing the proper...
Ribosomal_L22e	1	1	pfam01776	Ribosomal L22e protein family
Ribosomal_L2_C	1	1	pfam03947	Ribosomal Proteins L2, C-terminal domain
Ribosomal_L30_N	1	1	pfam08079	Ribosomal L30 N-terminal domain
Ribosomal_L32_L32e	1	1	cd00513	Ribosomal_L32_L32e: L32 is a protein from the large subunit that contains a surface-exposed globular domain and a finger-like projection that extends into the RNA core to stabilize the tertiary structure. L32 does not appear to play a role in forming the...
Ribosomal_L36e	1	1	pfam01158	Ribosomal protein L36e
Ribosomal_L50	1	1	pfam10501	Ribosomal subunit 39S
Ribosomal_P0_like	1	1	composed of uncharacterized eukaryotic proteins with similarity to the 60S ribosomal protein P0, including the Saccharomyces cerevisiae protein called mRNA turnover protein 4 (MRT4). MRT4 may be...	Ribosomal protein L10 family, P0-like protein subfamily
Ribosomal_S14	1	1	cl00355	Ribosomal protein S14p/S29e
Ribosomal_S15p_S13e	1	1	cd00353	Ribosomal protein S15 (prokaryotic)_S13 (eukaryotic) binds the central domain of 16S rRNA and is required for assembly of the small ribosomal subunit and for intersubunit association, thus representing a key element in the assembly of the whole ribosome
Ribosomal_S9	1	1	pfam00380	Ribosomal protein S9/S16
Ricin_B_lectin	1	1	pfam00652	Ricin-type beta-trefoil lectin domain
Rieske	1	1	a [2Fe-2S] cluster binding domain commonly found in Rieske non-heme iron oxygenase (RO) systems such as naphthalene and biphenyl dioxygenases, as well as in plant/cyanobacterial chloroplast b6f and mitochondrial cytochrome bc(1) complexes	Rieske domain
RimK	1	1	COG0189	Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase) [Coenzyme metabolism / Translation, ribosomal structure and biogenesis]
RluA	1	1	COG0564	Pseudouridylate synthases, 23S RNA-specific [Translation, ribosomal structure and biogenesis]
Robl_LC7	1	1	smart00960	Roadblock/LC7 domain
Rod_C	1	1	pfam10493	Rough deal protein C-terminal region
Rogdi_lz	1	1	pfam10259	Rogdi leucine zipper containing protein
Rpn3_C	1	1	pfam08375	Proteasome regulatory subunit C-terminal
RpoB	1	1	COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit [Transcription]
RsuA	1	1	COG1187	16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases [Translation, ribosomal structure and biogenesis]
S1-like	1	1	pfam14444	S1-like
S10_plectin	1	1	pfam03501	Plectin/S10 domain
S1_pNO40	1	1	cd05686	S1_pNO40: pNO40 , S1-like RNA-binding domain. pNO40 is a nucleolar protein of unknown function with an N-terminal S1 RNA binding domain, a CCHC type zinc finger, and clusters of basic amino acids representing a potential nucleolar targeting signal
SAE2	1	1	pfam08573	DNA repair protein endonuclease SAE2/CtIP C-terminus
SAM_DGK-eta	1	1	cd09576	SAM domain of diacylglycerol kinase eta
SAM_GAREM	1	1	cd09525	SAM domain of GAREM subfamily
SAM_Neurabin-like	1	1	cd09512	SAM domain of SAM_Neurabin-like subfamily
SAM_PNT-FLI-1	1	1	cd08541	Sterile alpha motif (SAM)/Pointed domain of friend leukemia integration 1 transcription activator
SAM_Ph1,2,3	1	1	cd09577	SAM domain of Ph (polyhomeotic) proteins of Polycomb group
SAM_SARM1-like_repeat2	1	1	cd09502	SAM domain of SARM1-like, repeat 2
SAM_Scm	1	1	cd09578	SAM domain of Scm proteins of Polycomb group
SAM_Scm-like-4MBT1,2	1	1	cd09581	SAM domain of Scm-like-4MBT1,2 proteins of Polycomb group
SAM_TNK-like	1	1	cd09539	SAM domain of TNK(ACK)-like non-receptor tyrosine-protein kinases
SAM_aveugle-like	1	1	cd09510	SAM domain of aveugle-like subfamily
SAM_decarbox	1	1	cl03253	Adenosylmethionine decarboxylase
SAM_tankyrase1,2	1	1	cd09524	SAM domain of tankyrase1,2 subfamily
SAP	1	1	pfam02037	SAP domain
SART-1	1	1	pfam03343	SART-1 family
SAS2	1	1	COG5027	Histone acetyltransferase (MYST family) [Chromatin structure and dynamics]
SATB1_N	1	1	cd11585	N-terminal domain of SATB1 and similar proteins
SBF2	1	1	pfam12335	Myotubularin protein
SBP_bac_3	1	1	pfam00497	Bacterial extracellular solute-binding proteins, family 3
SCP_CRISP	1	1	cd05383	SCP_CRISP: SCP-like extracellular protein domain, CRISP-like sub-family. The wider family of SCP containing proteins includes plant pathogenesis-related protein 1 (PR-1), CRISPs, mammalian cysteine-rich secretory proteins, which combine SCP with a...
SCP_euk	1	1	cd05380	SCP_euk: SCP-like extracellular protein domain, as found mainly in eukaryotes. This family includes plant pathogenesis-related protein 1 (PR-1), CRISPs, mammalian cysteine-rich secretory proteins, and allergen 5 from vespid venom. It has been proposed...
SDA1	1	1	pfam05285	SDA1
SEC21	1	1	COG5240	Vesicle coat complex COPI, gamma subunit [Intracellular trafficking and secretion]
SEN2	1	1	COG1676	tRNA splicing endonuclease [Translation, ribosomal structure and biogenesis]
SEP	1	1	smart00553	Domain present in Saccharomyces cerevisiae Shp1, Drosophila melanogaster eyes closed gene (eyc), and vertebrate p47
SERTA	1	1	pfam06031	SERTA motif
SGL	1	1	pfam08450	SMP-30/Gluconolaconase/LRE-like region
SH2_C-SH2_PLC_gamma_like	1	1	cd09932	C-terminal Src homology 2 (C-SH2) domain in Phospholipase C gamma
SH2_C-SH2_SHP_like	1	1	cd09931	C-terminal Src homology 2 (C-SH2) domain found in SH2 domain Phosphatases (SHP) proteins
SH2_Jak3	1	1	cd10380	Src homology 2 (SH2) domain in the Janus kinase 3 (Jak3) proteins
SH2_N-SH2_PLC_gamma_like	1	1	cd10341	N-terminal Src homology 2 (N-SH2) domain in Phospholipase C gamma
SH2_N-SH2_Zap70_Syk_like	1	1	cd09938	N-terminal Src homology 2 (SH2) domain found in Zeta-chain-associated protein kinase 70 (ZAP-70) and Spleen tyrosine kinase (Syk) proteins
SH2_RIN2	1	1	cd10394	Src homology 2 (SH2) domain found in Ras and Rab interactor 2 (RIN2)-like proteins
SH2_SHIP	1	1	cd10343	Src homology 2 (SH2) domain found in SH2-containing inositol-5'-phosphatase (SHIP) and SLAM-associated protein (SAP)
SH2_SOCS2	1	1	cd10383	Src homology 2 (SH2) domain found in  suppressor of cytokine signaling (SOCS) proteins
SH2_SOCS7	1	1	cd10388	Src homology 2 (SH2) domain found in  suppressor of cytokine signaling (SOCS) proteins
SH2_STAP1	1	1	cd10403	Src homology 2 domain found in Signal-transducing adaptor protein 1 (STAP1)
SH2_Src_family	1	1	cd09933	Src homology 2 (SH2) domain found in the Src family of non-receptor tyrosine kinases
SH2_Tensin_like	1	1	cd09927	Src homology 2 domain found in Tensin-like proteins
SH2_csk_like	1	1	cd09937	Src homology 2 (SH2) domain found in Carboxyl-Terminal Src Kinase (Csk)
SH3	1	1	cl17036	Src Homology 3 domain superfamily
SH3_ARHGAP32_33	1	1	cd11835	Src homology 3 domain of Rho GTPase-activating proteins 32 and 33, and similar proteins
SH3_ARHGEF5_19	1	1	cd11940	Src homology 3 domain of the Rho guanine nucleotide exchange factors ARHGEF5 and ARHGEF19
SH3_ASPP1	1	1	cd11954	Src Homology 3 domain of Apoptosis Stimulating of p53 protein 1
SH3_Abl	1	1	cd11850	Src homology 3 domain of the Protein Tyrosine Kinase, Abelson kinase
SH3_Amphiphysin_I	1	1	cd12140	Src Homology 3 domain of Amphiphysin I
SH3_CD2AP-like_2	1	1	cd11874	Second Src Homology 3 domain (SH3B) of CD2-associated protein and similar proteins
SH3_CIN85_2	1	1	cd12055	Second Src Homology 3 domain (SH3B) of Cbl-interacting protein of 85 kDa
SH3_Cortactin	1	1	cd11959	Src homology 3 domain of Cortactin
SH3_DLG4	1	1	cd12030	Src Homology 3 domain of Disks Large homolog 4
SH3_Endophilin_A	1	1	cd11803	Src homology 3 domain of Endophilin-A
SH3_FCHSD_1	1	1	cd11761	First Src Homology 3 domain of FCH and double SH3 domains proteins
SH3_MPP2	1	1	cd12037	Src Homology 3 domain of Membrane Protein, Palmitoylated 2 (or MAGUK p55 subfamily member 2)
SH3_MPP7	1	1	cd12033	Src Homology 3 domain of Membrane Protein, Palmitoylated 7 (or MAGUK p55 subfamily member 7)
SH3_Nck2_3	1	1	cd11903	Third Src Homology 3 domain of Nck2 adaptor protein
SH3_RIM-BP_1	1	1	cd12014	First Src homology 3 domain of Rab3-interacting molecules (RIMs) binding proteins
SH3_RIM-BP_2	1	1	cd12012	Second Src homology 3 domain of Rab3-interacting molecules (RIMs) binding proteins
SH3_SH3BP4	1	1	cd11757	Src Homology 3 domain of SH3 domain-binding protein 4
SH3_SH3RF1_2	1	1	cd11930	Second Src Homology 3 domain of SH3 domain containing ring finger protein 1, an E3 ubiquitin-protein ligase
SH3_SH3RF2_3	1	1	cd11784	Third Src Homology 3 domain of SH3 domain containing ring finger 2
SH3_STAM	1	1	cd11820	Src homology 3 domain of Signal Transducing Adaptor Molecules
SH3_Sorbs1_1	1	1	cd11919	First Src Homology 3 domain of Sorbin and SH3 domain containing 1 (Sorbs1), also called ponsin
SH3_Sorbs1_2	1	1	cd11922	Second Src Homology 3 domain of Sorbin and SH3 domain containing 1 (Sorbs1), also called ponsin
SH3_Stac_1	1	1	cd11833	First C-terminal Src homology 3 domain of SH3 and cysteine-rich domain-containing (Stac) proteins
SH3_VAV2_2	1	1	cd11977	C-terminal (or second) Src homology 3 domain of VAV2 protein
SH3_Vinexin_3	1	1	cd11918	Third (or C-terminal) Src Homology 3 domain of Vinexin, also called Sorbin and SH3 domain containing 3 (Sorbs3)
SH3_betaPIX	1	1	cd12061	Src Homology 3 domain of beta-Pak Interactive eXchange factor
SIMPL	1	1	pfam04402	Protein of unknown function (DUF541)
SIP1	1	1	pfam04938	Survival motor neuron (SMN) interacting protein 1 (SIP1)
SIRT1	1	1	and are members of the SIR2 family of proteins, silent information regulator 2 (Sir2) enzymes which catalyze NAD+-dependent protein/histone deacetylation. Sir2...	SIRT1: Eukaryotic group (class1) which includes human sirtuins SIRT1-3 and yeast Hst1-4
SIT	1	1	NA	NA
SLC5sbd_SMCT1	1	1	solute-binding domain	Na(+)/monocarboxylate cotransporter SMCT1 and related proteins
SLC5sbd_SMVT	1	1	solute-binding domain	Na(+)/multivitamin cotransporter SMVT and related proteins
SLC6sbd_B0AT1	1	1	solute-binding domain	Na(+)-dependent neutral amino acids transporter, B0AT1
SLC6sbd_B0AT3	1	1	solute-binding domain	glycine transporter, B0AT3
SLC6sbd_BGT1	1	1	solute-binding domain	Na(+)- and Cl(-)-dependent betaine/GABA transporter-1, and related proteins
SLC6sbd_GAT2	1	1	solute-binding domain	Na(+)- and Cl(-)-dependent GABA transporter 2
SLC6sbd_GlyT2	1	1	solute-binding domain	Na(+)- and Cl(-)-dependent glycine transporter GlyT2
SLC6sbd_NTT4	1	1	solute-binding domain	Na(+)-dependent neurotransmitter transporter 4
SLC6sbd_PROT	1	1	solute-binding domain	Na(+)- and Cl(-)-dependent L-proline transporter PROT
SLC6sbd_SIT1	1	1	solute-binding domain	Na(+)- and Cl(-)-dependent imino acid transporter SIT1
SLIDE	1	1	pfam09111	SLIDE
SLY	1	1	pfam12485	Lymphocyte signaling adaptor protein
SMC_hinge	1	1	smart00968	SMC proteins Flexible Hinge Domain
SMK-1	1	1	pfam04802	Component of IIS longevity pathway SMK-1
SNAPc_SNAP43	1	1	pfam09808	Small nuclear RNA activating complex (SNAPc), subunit SNAP43
SNARE	1	1	pfam05739	SNARE domain
SNARE_assoc	1	1	pfam09335	SNARE associated Golgi protein
SOCS_CIS1	1	1	cd03734	SOCS (suppressors of cytokine signaling) box of CIS (cytokine-inducible SH2 protein) 1-like proteins. Together with the SOCS proteins, the CIS/SOCS family of proteins is characterized by the presence of a C-terminal SOCS box and a central SH2 domain
SPARC_Ca_bdg	1	1	pfam10591	Secreted protein acidic and rich in cysteine Ca binding region
SPATA19	1	1	NA	NA
SPATA6	1	1	NA	NA
SPO22	1	1	pfam08631	Meiosis protein SPO22/ZIP4 like
SPT2	1	1	smart00784	SPT2 chromatin protein
SQR_TypeC_SdhC	1	1	composed of bacterial SdhC and eukaryotic large cytochrome b binding (CybL) proteins. SQR catalyzes the oxidation of succinate to fumarate coupled to the...	Succinate:quinone oxidoreductase (SQR) Type C subfamily, Succinate dehydrogenase C (SdhC) subunit
SQS_PSY	1	1	pfam00494	Squalene/phytoene synthase
SRA1	1	1	pfam07304	Steroid receptor RNA activator (SRA1)
SRC-1	1	1	pfam08832	Steroid receptor coactivator
SRP-alpha_N	1	1	pfam04086	Signal recognition particle, alpha subunit, N-terminal
SRP40_C	1	1	pfam05022	SRP40, C-terminal domain
SRP54_euk	1	1	TIGR01425	signal recognition particle protein SRP54
SRP9-21	1	1	pfam05486	Signal recognition particle 9 kDa protein (SRP9)
SRPBCC_PITPNA-B_like	1	1	cd08888	Lipid-binding SRPBCC domain of mammalian PITPNA, -B, and related proteins (Class I PITPs)
SRRM_C	1	1	NA	NA
SSH-N	1	1	cd11652	N-terminal domain conserved in slingshot (SSH) phosphatases
SSXT	1	1	pfam05030	SSXT protein (N-terminal region)
STAG	1	1	pfam08514	STAG domain
START_STARD1-like	1	1	cd08905	Cholesterol-binding START domain of mammalian STARD1 and related proteins
START_STARD12-like	1	1	cd08908	C-terminal lipid-binding START domain of mammalian STARD12 and related proteins, which also have an N-terminal Rho GTPase-activating protein (RhoGAP) domain
START_STARD14-like	1	1	cd08913	Lipid-binding START domain of mammalian STARDT14 and related proteins
START_STARD6-like	1	1	cd08904	Lipid-binding START domain of mammalian STARD6 and related proteins
STAT2_C	1	1	pfam12188	Signal transducer and activator of transcription 2 C terminal
STAT_alpha	1	1	pfam01017	STAT protein, all-alpha domain
STAT_bind	1	1	pfam02864	STAT protein, DNA binding domain
STKc_ASK	1	1	cd06624	Catalytic domain of the Protein Serine/Threonine Kinase, Apoptosis signal-regulating kinase
STKc_CDK10	1	1	cd07845	Catalytic domain of the Serine/Threonine Kinase, Cyclin-Dependent protein Kinase 10
STKc_CDK4	1	1	cd07863	Catalytic domain of the Serine/Threonine Kinase, Cyclin-Dependent protein Kinase 4
STKc_CDKL5	1	1	cd07848	Catalytic domain of the Serine/Threonine Kinase, Cyclin-Dependent protein Kinase Like 5
STKc_DMPK_like	1	1	cd05597	Catalytic domain of Myotonic Dystrophy protein kinase-like Protein Serine/Threonine Kinases
STKc_LATS2	1	1	cd05626	Catalytic domain of the Protein Serine/Threonine Kinase, Large Tumor Suppressor 2
STKc_MAP4K3_like	1	1	cd06613	Catalytic domain of Mitogen-activated protein kinase kinase kinase kinase-like Protein Serine/Threonine Kinases
STKc_MAP4K5	1	1	cd06646	Catalytic domain of the Protein Serine/Threonine Kinase, Mitogen-activated protein kinase kinase kinase kinase 5
STKc_MAPK15	1	1	cd07852	Catalytic domain of the Serine/Threonine Kinase, Mitogen-Activated Protein Kinase 15
STKc_MAPK4_6	1	1	cd07854	Catalytic domain of the Serine/Threonine Kinases, Mitogen-Activated Protein Kinases 4 and 6
STKc_MAST	1	1	cd05609	Catalytic domain of the Protein Serine/Threonine Kinase, Microtubule-associated serine/threonine kinase
STKc_MASTL	1	1	cd05610	Catalytic domain of the Protein Serine/Threonine Kinase, Microtubule-associated serine/threonine-like kinase
STKc_MEKK2	1	1	cd06652	Catalytic domain of the Protein Serine/Threonine Kinase, MAP/ERK kinase kinase 2
STKc_MST1_2	1	1	cd06612	Catalytic domain of the Protein Serine/Threonine Kinases, Mammalian Ste20-like protein kinase 1 and 2
STKc_NLK	1	1	cd07853	Catalytic domain of the Serine/Threonine Kinase, Nemo-Like Kinase
STKc_Nek2	1	1	cd08217	Catalytic domain of the Protein Serine/Threonine Kinase, Never In Mitosis gene A-related kinase 2
STKc_PAK_I	1	1	cd06647	Catalytic domain of the Protein Serine/Threonine Kinase, Group I p21-activated kinase
STKc_PCTAIRE1	1	1	cd07873	Catalytic domain of the Serine/Threonine Kinase, PCTAIRE-1 kinase
STKc_PCTAIRE2	1	1	cd07872	Catalytic domain of the Serine/Threonine Kinase, PCTAIRE-2 kinase
STKc_PCTAIRE3	1	1	cd07871	Catalytic domain of the Serine/Threonine Kinase, PCTAIRE-3 kinase
STKc_PFTAIRE2	1	1	cd07870	Catalytic domain of the Serine/Threonine Kinase, PFTAIRE-2 kinase
STKc_PKN	1	1	cd05589	Catalytic domain of the Protein Serine/Threonine Kinase, Protein Kinase N
STKc_ROCK	1	1	cd05596	Catalytic domain of the Protein Serine/Threonine Kinase, Rho-associated coiled-coil containing protein kinase
STKc_RSK_N	1	1	cd05582	N-terminal catalytic domain of the Protein Serine/Threonine Kinase, 90 kDa ribosomal protein S6 kinase
STKc_SLK	1	1	cd06643	Catalytic domain of the Protein Serine/Threonine Kinase, Ste20-like kinase
STKc_Yank1	1	1	cd05578	Catalytic domain of the Protein Serine/Threonine Kinase, Yank1
STKc_aPKC	1	1	cd05588	Catalytic domain of the Protein Serine/Threonine Kinase, Atypical Protein Kinase C
STKc_myosinIIIA	1	1	cd06638	Catalytic domain of the Protein Serine/Threonine Kinase, Class IIIA myosin
STKc_nPKC_epsilon	1	1	cd05591	Catalytic domain of the Protein Serine/Threonine Kinase, Novel Protein Kinase C epsilon
STKc_p38	1	1	cd07851	Catalytic domain of the Serine/Threonine Kinase, p38 Mitogen-Activated Protein Kinase
STKc_p38gamma_MAPK12	1	1	cd07880	Catalytic domain of the Serine/Threonine Kinase, p38gamma Mitogen-Activated Protein Kinase
STKc_p70S6K	1	1	cd05584	Catalytic domain of the Protein Serine/Threonine Kinase, 70 kDa ribosomal protein S6 kinase
SVA	1	1	pfam05326	Seminal vesicle autoantigen (SVA)
SWIB	1	1	pfam02201	SWIB/MDM2 domain
SWIRM	1	1	pfam04433	SWIRM domain
Saccharop_dh	1	1	pfam03435	Saccharopine dehydrogenase
SapB	1	1	smart00741	Saposin (B) Domains
Sarcolipin	1	1	pfam05366	Sarcolipin
Sclerostin	1	1	pfam05463	Sclerostin (SOST)
Scramblase	1	1	pfam03803	Scramblase
Scs3p	1	1	pfam10261	Inositol phospholipid synthesis and fat-storage-inducing TM
Sec23_BS	1	1	pfam08033	Sec23/Sec24 beta-sandwich domain
Sec39	1	1	pfam08314	Secretory pathway protein Sec39
Sec6	1	1	pfam06046	Exocyst complex component Sec6
Sec8_exocyst	1	1	pfam04048	Sec8 exocyst complex component specific domain
SecD_SecF	1	1	cl14618	Protein export membrane protein
Securin	1	1	pfam04856	Securin sister-chromatid separation inhibitor
Sema_3A	1	1	cd11249	The Sema domain, a protein interacting module, of semaphorin 3A (Sema3A)
Sema_3D	1	1	cd11252	The Sema domain, a protein interacting module, of semaphorin 3D (Sema3D)
Sema_3G	1	1	cd11255	The Sema domain, a protein interacting module, of semaphorin 3G (Sema3G)
Sema_4D	1	1	cd11259	The Sema domain, a protein interacting module, of semaphorin 4D (Sema4D, also known as CD100)
Sema_4F	1	1	cd11261	The Sema domain, a protein interacting module, of semaphorin 4F (Sema4F)
Sema_6D	1	1	cd11269	The Sema domain, a protein interacting module, of semaphorin 6D (Sema6D)
Sema_MET	1	1	cd11278	The Sema domain, a protein interacting module, of MET (also called hepatocyte growth factor receptor, HGFR)
Sema_plexin_A3	1	1	cd11273	The Sema domain, a protein interacting module, of Plexin A3
Sema_plexin_B2	1	1	cd11276	The Sema domain, a protein interacting module, of Plexin B2
